Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
05/30/1990	(?)	06/01/1990	(?)	4 deg 00' S	54 deg 00' E	(?)	Thomas Evanoff, CDR US Navy	(The Milky Sea) went on for miles. It was so bright I could read my notebook while standing on the bridge wing. At the time, I was the ship's navigator and happened to have the deck watch that night. It was so unusual, I remember calling the Captain and having some crewman come up from below deck to observe. The observation was near the Equator, well east of Africa in the Indian Ocean, during transit to/from port visit in the Seychelles	Miller et al. 2021	Seychelles	Milky Sea	0	N/A	245
08/15/1990	16:00 GMT	08/15/1990	16:10 GMT	10 deg 01' N	63 deg 34' E	Antwerpen (48820)	Verspreet Y., Third Officer	Date 15-08-1990; GMT: 16.00 till 16.10 Area of Marine Bioluminescence. - From Position L 10 deg 01'N g 063 deg  34'E to L 10 deg 00'N g 063 deg 36.6'E An area of marine bioluminescence was crossed by MV "Antwerpen". - In the center of the area, a diffused green-white light was observable all around, from ship to horizon. The intensity of the light was the same in all directions; - When leaving the area (pos 10 deg 00N; 063 deg 36.6'E) the intensity of the light became weaker but in a surrounding area of app. 20 m around the hull rapid green light flashes were observed. - Temp of sea water (bucket) 27.2 deg C; Wind WSW Force 4; State of sea; 4	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	246
08/18/1990	16:40 GMT	08/18/1990	(?)	10 deg 08' N	60 deg 12' E	MV Benalder (48644)	F.G.J. Anderson, Captain; S. Polson, First Officer; D. Walker, Seaman Grade One; R.J. Shepherd, R/O	1640 Z (2140 ships time) Posn 10 deg 08'N 60 deg 12'E. The sea's surface was noticed to have a white appearance which at first was thought to be low lying fog. This was disproved when shining a light to the sea surface gave no noticeable increase in lume. The phenomum extended to the horizon in all directions and was bright enough to make the ship's foredeck and the sky appear much darker than the sea. Appearance and disappearance was gradual appart from an area of normal sea which was passed about 5 minutes before the phenomunum disappeared at 1725Z. Posn 10 deg 13'N 59 deg 56'E. With refernce to the marine observers handbook it was identified as "Milky Sea' which other than one sighting (MV City of Edinburgh approx Aug/Sept 1985) Few crewmembers had seen before. Weather at time: Temp 24.8/26.2, Baro 1009.4, Wind WSW F-6, Sky clear, no moon, rough bow sea and moderate swell. Sea temp 26.2 C (by sea bucket)	Letter to Dr. Herring	 Arabian Sea	Milky Sea	0	N/A	246
08/23/1990	17:00 GMT	08/23/1990	(?)	12 deg 25.3' N	43 deg 44.9' E	MV Peninsular Bay (48757)	K.P. Irelany, Second Officer; D. Foster, N. CDT; G. Macleod, SMS	23rd August 1990 1700 GMT. GPS Position 12 deg 25.3'N, 43 deg 44.9'E. Ships course 110 deg (T) Speed 23.5 kts. Strong marine bioluminescence sighted around vessel initially in the form of bright green flashes and later patches of "milky sea" observed at approx 1-2 nmls in raidius. Wake astern had a steady "milky sea" appearince for about 1.5 nmls. Visibility was good and cloud cover 2/8 low. V/L altered course to 092 deg (T) at 1736 GMT and bioluminescence noticeably decreased in intensity and "milky sea" patches became sporadic. 	Letter to Dr. Herring	Gulf of Aden	Milky Sea	0	N/A	247
08/01/1991	(?)	08/01/1991	(?)	10 deg 00' S	135 deg 00' E	Windy Thoughts	Joyce Green, Private Mariner; Don Green, Private Mariner	Suddenly, my senses were overcome with the most astounding sight! The sea was alive with a vast bright green glow of bioluminescence that was often experienced in the boat's wake---but this was an enitrely new phenomenon. Windy Thoughts sailed into a sea that was literally alight from horizon to horizon with a bright luminous green glow as far as the eye could see. Amazingly, the sky around us was aglow as well. All was dead quiet, the wind and seas calmed considerably. And yet our speed increased as Windy Thoughts sailed along in silence, not a sound of a wave breaking on her hull, not even the sound of the bow wave as she cut through the water---and not a whisper of wind was heard. It was surreal.	Miller et al. 2021	Arafura Sea	Milky Sea	0	N/A	248
07/27/1992	00:00 LOC	07/29/1992	(?)	7 deg 30' S	129 deg 00' E	(?)	Terry Cosgrove, Private Mariner	(During the) midnight to 4 AM watch the sea was glowing with a milky grey light which reflected off the cloud cover giving an illusion of being in a fog where there was no horizon - the fact that the sea was quite lumpy (2 to 2.5 meter swell which we couldn't see, only feel) made the whole experience quite surreal. This happened over two nights on the third night the luminescence was still there but only very faintly.	Miller et al. 2021	Banda Sea	Milky Sea	0	N/A	249
11/07/1993	04:50 UNK	11/07/1993	(?)	11 deg 38' N	93 deg 48' W	MV Pacific Teal	P. J. Mahoney, Third Officer	7 November 1993. At 0450 whilst the vessel was on a course of 283 deg at a speed of 15 knots, a dull-white glow was observed in the water at a distance of about 4 cables off the port bow. As the vessel drew closer the glow took the form as shown in the sketch whilst another isolated patch of luminescence about 5 m across was seen a little further ahead of the maina rea. The sighting was the subject of much discussion but eventually it was concluded that the 'entity' was merely an ususal form of bioluminescence. At the time of the observation the wind was light and variable, there were frequent rain showers and occasional sheet lightning. Positio of ship: 11 deg 38'N, 93 deg 48'W.	Mar. Obs. 1994, 10, Vol LXIV, no 326	North Pacific	(?)	1	N/A	250
01/15/1994	19:00 GMT	01/15/1994	20:20 GMT	17 deg 02' N	62 deg 56' E	Staffordshire (52050)	F. Martin, Captain; Mr. D.I. Mackinnon, Second Mate; Mr. A. Mackellan, Third Mate; Mr. Vilbruel, Lookout	15th January 1994 at 1900Z, the sea all around the vessel extending to the horizon took on a dull, light milky colour which stood out from the relatively darker sky, and hull of the ship. It became so pronounced that the horizon was clearly seen. It diminished for a short while until a thin band all around the horizon was all that was notably bright, but returned to its original intensity after about 5 mins. A sample was taken of water at the time. Shaking and shining a light at the sample produced no reaction. Obseved in the sample through magnifying glass were small specks and longer "stringy" objects. Temp of the sample 24.8 deg C. The phenomenon was barely visible at 2015Z and had disappeared by 2020Z. Course 339 deg (T), speed 17 knots. Cloud = 1, Air temp 23 deg C, Sea temp 24.8 deg C, wind NE, Fce 3, Atmos . Press. 1012.6 mb, visibility 15'	Letter to Dr. Herring	Arabian Sea	Milky Sea	0	N/A	251
03/30/1994	15:40 GMT	03/30/1994	16:40 GMT	26 deg 30' N	55 deg 57' E	Limnea (52329)	Unnamed Third Officer and J. Calbraith, Captain	Report: At 1940 LMT 3/O and Master observed the slow growth of bioluminescence. It took approximately 30 minutes to grow from nothing to full intensity. Once the bioluminescence reached full intensity the horizon was totally overwhelmed and no visible horizon was visible at any point for the next 20/30 minutes. The bioluminescence took no form that anyone had ever seen trying to describe the type of luminescense is very hard to describe. As the swell rose and fell, the bioluminescence had the same [????] as the swell. [Drawing of two waves out of phase such that the peaks of one align with the troughs of the other] Apparent view from the sea level the swell waves also approxiamte colour of bioluminescenes. The bioluminescence appeared to well up from the sea. The master took a sample of the sea using the sea bucket, and once the bucket was clear of the sea the bioluminescence died and faded into nothing. At the time of maximum intensity, the bioluminescence was so bright that no other waves could be seen. It then took thirty minutes for the bioluminescence to fade to dark. The sea then took on a totally normal appearance. Later during the night a bioluminescence trail was left by the vessel.	Letter to Dr. Herring	Strait of Hormuz	Milky Sea	0	N/A	252
07/03/1994	14:20 GMT	07/03/1994	15:18 GMT	09 deg 33' S	113 deg 32' E	Equinox VPIK	N. Young, Third Officer; R. Stevens, E.R.S.; J. Duffy, Fourth Engineer; A. Rodrigo, Quartermaster; R. Watkinson, Third Engineer; J. Scott, Second Officer	3.7.94. Indian Ocean. Lat 09 33S 113 32E. Wind Lt SELY. Barometer 1014.s (steady). Temp 25.5 deg C. Swell SW 1 1/2 m. No clouds, No moon. Co 253 deg T Speed 12 knots. 1420 to 1435Z Sea temperature 27 deg C. V/L appeared to be in a milky white sea as far as the eye could see and what was presumed as dolphins swimming nearby left brilliant blue and white trails. The intensity of the white lit the V/L's decks up as if artifical light had been switched on; this phenomena lasted 15 minutes before fading away as quickly as arrived. Observer: N. Young 3/Off R. Stevens E.R.S. J. Duffy 4/ENG A. Rodrigo Q.M.  3.7.94 Indian Ocean Lat 09 35S 113 25E Conditions as above 1510 to 1518Z. This phenomena appeared once again though for a shorter period in this period the milky white sea had patches of brilliant blue as if water inside a coral reef so intense was the light V/L's decks were lit up as if ship's deck lights had been switched on and every detail of the V/L's decks was prominently visible. Observer N. Young 3/off A. Rodrigo Q.M. R. Watkinson 3/ENG J. Scott 2/off	Letter to Dr. Herring	Java	Milky Sea	0	N/A	253
08/03/1994	17:50 GMT	08/03/1994	(?)	06 deg 21' N	78 deg 00' E	Oriental Bay (52169)	B. Graham, Master; M. Graham, MAS; D. King, Navigation Cadet; J. Wright. SM1	Wednesday 3rd August 1994 1750 GMT Ships Posn 06 deg 21'N 78 deg 00'E. An extremely large patch of bioluminescence was encountered which first of all seemingly thought to large fishng fleet. The was was about nine to ten miles across and was approximately 5 miles deep in thick patches. It was observed that it carried on in a north-westerly direction. The luminescence was stretched EAST-WEST by the wind which was approx westerly force 4, and was extremely bright in nature. On studying the narine observers handbook it was determined it could be one of two types: (a) the diffused white light, which may give enough light to read by, or to illuminate clouds which is called "white water" or "milky sea". The even glow is thought to be light from marine organisms of microscopic size. (b) The upwelling of subsurface water, breaking into vivid luminosity at the surface.	Letter to Dr. Herring	Sri Lanka	Milky Sea	0	N/A	254
08/18/1994	03:15 UNK	08/18/1994	05:10 UNK	9 deg 10.8' S	105 deg 29.5' E	Gordon Reid 	D. Prochester, Second Officer; P. Hardy, Chief Officer; N. Glover, Able Seaman	At 0315 in position 9 deg 10.8'S 105 deg 29.5'E a waxing gibbous moon descended on the western horizon. As the light from moonset faded the ocean itself began to reveal an eerie milky glow. The intensity gradually increased, the entire sea soon appearing as a brilliant white/blue, luminous, ground glass emitting its own magnificent almost etheral radiance. Within 20 minutes an uncanny inversion had taken place, the sky appearing black against the luminous bright white of the sea; wash and wake became invisible and the sea had noticably quietened, although wind speed had non substantially changed. At this time wind ESE force 4 (~ 13 kts), barometer 1012.3 mb and temp 23.5 deg C/22.0 deg C. From about 0450 miky glow slowly lessened, then with first visibly twilight at 0510 abruptly disappeared. Bow and stern waves again became visible and the sea was again dark against the lightening sky. At this time wind ESE force 3 (~7 kts), Temp 24 deg C/22 deg C with a noticable rise of 0.5-1.0 mb in barometric pressure (sea accompanyuing sheet) at beginning of morning twilight and the end of milky sea. (0510 position 9 deg 30.0'S 105 deg 32.4'E).	Letter to Dr. Herring	Java	Milky Sea	0	N/A	255
09/08/1994	17:40 GMT	09/08/1994	(?)	11 deg 58.8' N	58 deg 47.2' E	Oriental Bay	(?)	Phenomena - Luminous Mist. Temperature: 26.6 deg C Dry; 25.0 deg C Wet; 24.3 deg C D.P. Barometric Pressure 1011.2 mb. obs: CAPT A.P. Talboy, 3.O.N. M. Haynes, S.M.1. A. Jones. Ships Pons 11 deg 58.8'N 58 deg 47.2'E. Course and speed 106 deg (T) at 22.0 knots. Time 2140 LT 1740Z. Cloud cover 6/8. Wind SSW 2. Visibility 10 nautical miles. Ambient Light: Nil. Prior to making the observed it was assumed that lights from the ship were giving the grey-green appearance to the haze just above the surface of the sea. However, due to the S.W. monsoon the sea had been rough for several days and the wind was up to that time about force 6. A further observation was made from the port side to ensure that the sidelight was not making a colour change that side, and sure enough it was still a luminous grey-green glow all around the ship for as far as the eye could see. Just to make double sure it was not light from the ship, I turned off all extermall accommodation lighting except the navigation lgihts and the glow remained. I called the captain who also remarked that he had never experienced this phenomena before. the opinion was that it looked like a vast area covered by underwater lights, similar to a swimming pool however no standard bioluminescence had been seen before the obs, and one at the time either. At the end of the watch the effect was still there but weakening, and it was of the opinion of the bridge team that we had entered the "Twilight Zone".	Letter to Dr. Herring	Somalia/Socotra	Milky Sea	0	N/A	256
